id,fungus,spore,mass_i,mass_f,f0,f1,f2,f3,f4,survival,censored,label
ax001,alive,160,3.66,84.26,143.34,130.79,147.37,158.13,198.56,10,0,b
ax002,alive,160,2.1,59.42,134.27,140.46,132.59,145.9,163.49,10,0,b
ax003,alive,160,1.81,18.1,130.3,122.03,146.27,125.33,128.7,10,0,b
ax004,alive,160,2.7,15.52,132.52,122.3,132.83,123.19,138.46,10,0,b
ax005,alive,160,2.27,98.65,145.95,141.98,156.34,152.88,170.35,10,0,b
ax006,alive,160,3.02,144.21,134.54,157.77,147.29,186.77,222.81,10,0,b
ax007,alive,160,3.14,55.54,132.81,130.73,133.01,158.32,143.13,10,0,b
ax008,alive,160,3.75,121.44,142.68,151.83,143.07,165.56,218.28,10,0,b
ax009,alive,160,3.78,101.65,131.68,125.93,142.08,130.69,221.51,10,0,b
ax010,alive,160,3.76,103.02,140.74,115.37,na,123.41,222.69,10,0,b
ax011,alive,160,5.31,132.31,138.43,133.46,121.05,170.74,197.38,10,0,b
ax012,alive,160,3.44,113.25,140.86,125.13,140.36,160.34,238.44,10,0,b
ax013,alive,160,3.55,96.69,136.31,120.28,125.49,133.81,166.49,10,0,b
ax014,alive,160,2.39,51.45,135.93,132.88,155.71,174.05,134.76,10,0,b
ax015,alive,160,0.99,56.94,150.93,144.3,133.17,151.08,134.6,10,0,b
ax016,alive,160,2.89,44.69,143.14,128.69,136.86,146.4,153.96,10,0,b
ax017,alive,160,3.01,na,131.94,na,na,na,na,1,1,b
ax018,alive,160,3.38,15.02,145.24,143.24,102.83,138.04,134.11,10,0,b
ax019,alive,160,2.73,43.15,136.69,134.37,124.25,161.2,137.33,10,0,b
ax020,alive,160,1.38,58.29,143.38,113.34,na,127.72,187.47,10,0,b
ax021,alive,160,3.27,14.08,143.6,132.69,127.82,125.3,123.4,10,0,b
ax022,alive,160,3.48,153.35,124.01,132.42,140.48,196.91,226.61,10,0,b
ax023,alive,160,4.7,114.9,131.93,132.98,174.61,162.29,223.64,10,0,b
ax024,alive,160,1.85,7.02,84.82,139.71,141.92,138.05,125.71,8,1,b
ax025,alive,160,3.44,54.05,128.92,138.04,141.09,143.78,139.75,10,0,b
ax026,alive,160,2.38,na,131.17,na,na,na,na,0,1,b
ax027,alive,160,3.6,na,111.78,na,na,na,na,0,1,b
ax028,alive,160,2.69,118.18,162.96,165.73,155.3,164.49,235.99,10,0,b
ay001,alive,1447,1.75,88.81,133.2,127.18,145.38,145.22,197.82,10,0,c
ay003,alive,1447,4.01,106.23,151.12,145.63,169.01,206.57,116.23,10,0,c
ay004,alive,1447,3.03,75.3,124.11,122.64,142.93,126.72,187.67,10,0,c
ay005,alive,1447,2.01,82.74,136.78,147.76,126.5,131.08,200.58,10,0,c
ay006,alive,1447,2.84,95.44,132.05,138.48,149.24,192.85,176.89,10,0,c
ay007,alive,1447,2.19,41.65,134.66,139.59,137.51,126.82,153.13,10,0,c
ay008,alive,1447,2.41,70.07,135.03,123.52,135.37,135.46,185.69,10,0,c
ay009,alive,1447,2.09,68.94,142.51,119.86,157.13,156.77,154.84,10,0,c
ay010,alive,1447,2.32,na,136.25,na,na,na,na,1,1,c
ay011,alive,1447,2.98,56.92,129.37,124.45,125.66,141.09,155.49,10,0,c
ay012,alive,1447,3.9,95.31,135.43,119.96,140.53,137.35,231.53,10,0,c
ay013,alive,1447,3.02,52.1,136.79,112.72,143.17,159.3,158.53,10,0,c
ay014,alive,1447,3.51,72.4,141.06,106.59,146.33,159.23,168.69,10,0,c
ay015,alive,1447,3.73,93.61,141.76,142.61,132.06,173.38,173.32,10,0,c
ay016,alive,1447,2.03,93.29,143.68,151.98,134.6,na,204.52,10,0,c
ay017,alive,1447,3.76,101.34,155.13,144.4,145.09,188.73,155.83,10,0,c
ay018,alive,1447,2.09,84.32,134.32,130.67,121.27,154.32,182.29,10,0,c
ay019,alive,1447,2.57,86.11,145.76,133.83,138.09,154.01,137.16,10,0,c
ay020,alive,1447,3.58,64.33,138.04,138.66,117.66,152.71,157.3,10,0,c
ay021,alive,1447,4.01,90.21,143.94,138.67,129.48,189.97,192.84,10,0,c
ay022,alive,1447,3.84,100.18,128.96,133.02,136.91,161.48,207.24,10,0,c
ay023,alive,1447,2.45,81.16,124.21,133.56,158.05,186.81,160.5,10,0,c
ay024,alive,1447,2.65,56.2,144.9,159.76,158.85,146.77,174.62,10,0,c
ay025,alive,1447,3,146.19,151,142.34,158.16,209.16,212.79,10,0,c
ay026,alive,1447,1.93,45.99,119.69,121.3,140.37,152.39,158.16,10,0,c
ay027,alive,1447,3.31,135.55,132.42,138,144.05,194.26,220.67,10,0,c
ay028,alive,1447,3.02,69.62,113.86,166.03,146.76,191.17,154.8,10,0,c
az001,alive,13025,2.44,na,125.66,152.3,na,na,na,2,1,d
az002,alive,13025,2.44,44.33,122.66,126.76,122.32,160.41,124.24,10,0,d
az003,alive,13025,2.84,48.8,133.1,114.06,134.06,133.5,156.21,9,1,d
az004,alive,13025,2.51,58.14,142.81,144.9,144.95,161.09,143.67,7,1,d
az005,alive,13025,2.53,86.86,133.48,119.03,141.81,167.73,190.52,10,0,d
az006,alive,13025,2.2,76.7,133.58,140.61,129.4,150.55,174.27,10,0,d
az007,alive,13025,2.85,141.23,132.55,162.49,141.47,201.87,176.41,10,0,d
az008,alive,13025,2.33,76.99,138.17,97.93,146.91,124.88,209.95,10,0,d
az009,alive,13025,4.03,63.03,146.59,124.51,143.1,141.59,186.48,10,0,d
az010,alive,13025,3.9,131.1,138.34,139.84,160.37,163.25,237.1,10,0,d
az011,alive,13025,3.64,63.33,142.98,130.78,143.1,126.36,158.87,7,1,d
az012,alive,13025,3.17,80.96,133.54,121.72,145.21,144.9,197.16,10,0,d
az013,alive,13025,1.29,na,138.12,na,na,na,na,1,1,d
az014,alive,13025,2.75,na,142.7,na,na,na,na,1,1,d
az015,alive,13025,3.09,51.22,146.28,158.27,125.74,159.29,161.8,10,0,d
az016,alive,13025,3.5,56.62,148.82,137.96,129.41,189.8,171.88,10,0,d
az017,alive,13025,1.55,79.1,133.48,145.18,132.19,155.23,144.42,10,0,d
az018,alive,13025,3.04,49.19,152.34,134.99,135.16,135.07,157.82,10,0,d
az019,alive,13025,3.3,61.03,155.43,141.01,138.55,194.24,166.14,10,0,d
az020,alive,13025,2.8,100.52,140.97,163.74,133.98,168.46,202.51,10,0,d
az021,alive,13025,2.33,113.23,146.56,148.86,140.3,143.52,219.32,10,0,d
az022,alive,13025,2.65,110.81,129.19,137.15,160.91,156.6,212.85,7,1,d
az023,alive,13025,4.36,116.16,147.54,131.73,201,131.05,223.26,10,0,d
az024,alive,13025,2,na,137.27,130.03,145.28,na,na,3,1,d
az025,alive,13025,3.21,18.6,119.97,107.47,153.39,143.93,119.17,7,1,d
az026,alive,13025,3.98,142.01,134.58,155.89,159.08,176.84,228.64,10,0,d
az027,alive,13025,2.92,117,132.32,160.54,148.95,159.43,233.04,10,0,d
az028,alive,13025,2.22,na,131.18,na,na,na,na,0,1,d
c001,alive,0,2.12,48.29,137.68,127.3,127.04,123.19,157.45,10,0,a
c002,dead,0,1.27,65.03,137.65,117.94,150.39,121.88,168.26,10,0,a
c003,alive,0,2.9,65.69,134.5,130.8,141.26,117.58,179.83,10,0,a
c004,dead,0,1.55,35.81,123.2,128.64,136.73,114.09,160.13,10,0,a
c005,alive,0,2.85,125.54,139.75,142.76,150.32,179.16,237.92,10,0,a
c006,dead,0,2.85,125.73,131.01,138.24,136.27,159.49,200.09,10,0,a
c007,alive,0,2.65,120.81,135.13,142.61,144.15,170.34,193.52,10,0,a
c008,dead,0,3.1,70.32,142.1,126.09,141.37,130.11,197.25,10,0,a
c009,alive,0,4.15,143.5,137.56,145.7,122.65,183.14,197.45,10,0,a
c010,dead,0,2.65,69.75,133.16,124.86,138.32,128.11,185.64,10,0,a
c011,alive,0,3.37,83.8,147.32,114.68,154.74,119.68,175.43,10,0,a
c012,dead,0,3.09,45.7,135.6,123.2,140.88,140.88,140.93,10,0,a
c013,alive,0,2.38,55.3,149.1,120.74,130.81,153.66,139.76,10,0,a
c014,dead,0,3.05,96.1,144.61,119.64,146.17,136.68,216.76,10,0,a
c015,alive,0,1.46,na,139.2,na,na,na,na,1,1,a
c016,dead,0,2.05,na,143.31,129.03,na,na,na,2,1,a
c017,alive,0,2.02,84.75,145.9,154.3,155.32,188.36,182.22,10,0,a
c018,dead,0,2.86,49.98,142.82,160.44,117.86,197.49,137.16,10,0,a
c019,alive,0,3.32,na,148.57,na,na,na,na,1,1,a
c020,dead,0,2.68,50.68,146.05,158.12,119.34,161.84,164.91,10,0,a
c021,alive,0,3.53,62.07,138.48,129.23,131.86,148.66,182.53,10,0,a
c022,dead,0,3.62,126.51,129.54,150.34,151.57,217.68,210.26,10,0,a
c023,alive,0,1.8,35.74,126.04,125.86,166.33,134.81,143.5,10,0,a
c024,dead,0,2.15,102.91,140.58,136.53,158.73,162.62,177.49,10,0,a
c025,alive,0,2.41,63.26,133.44,117.46,140.27,143.22,171.13,10,0,a
c026,dead,0,2.92,134.94,132.51,144.52,162.09,178.52,234.55,5,1,a
c027,alive,0,1.97,35.11,132.86,137.51,144.69,152.44,120.55,10,0,a
c028,dead,0,2.84,118.32,110.85,139.6,174.58,226.26,151.72,10,0,a
dx001,dead,160,4.13,140.82,129.08,149.96,171.64,140.24,240.39,10,0,b
